Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
01/17/25,Friday,45,gas,Travel,Debit,Need
01/10/25,Friday,50,p&c matco,Bills,Debit,Need
01/10/25,Friday,29.38,market ,Food,Debit,Need
01/10/25,Friday,4.48,sank,Food,Debit,Need
1/18/25,Saturday,24.19,market ,Food,Debit,Need
1/18/25,Saturday,8.99,roku ,Bills,Debit,Need
1/18/25,Saturday,16.52,safeway,Food,Debit,Need
1/19/25,Sunday,10.38,safeway,Food,Debit,Need
1/20/25,Monday,47.28,pizza speedys,Food,Debit,Need
1/20/25,Monday,21.06,doordash,Food,Debit,Need
1/20/25,Monday,18.49,doordash,Food,Debit,Need
1/20/25,Monday,11.60,market ,Food,Debit,Need
1/24/25,Friday,130.00,pay daycare ,Bills,Cash,Need
1/24/25,Friday,30.00,eye ,Entertainment and Recreation,Credit,Want
1/24/25,Friday,22.70,dimpers ,Entertainment and Recreation,Credit,Need
1/25/25,Friday,38.55,amazon,Housing,Credit,Need
1/24/25,Friday,20.30,market ,Food,Debit,Need
1/25/25,Saturday,8.57,panda express,Food,Debit,Need
1/25/25,Saturday,61.67,charleys philly ,Food,Debit,Need
1/26/25,Sunday,18.72,safeway,Food,Debit,Need
1/26/25,Sunday,65.74,lowes,Housing,Debit,Need
1/26/25,Sunday,58.60,jack in the book,Food,Debit,Need
1/27/25,Monday,4.48,7- eleven,Food,Cash,Want
1/27/25,Monday,"3,827.19",deposit moving,Bills,Debit,Need
1/27/25,Monday,53.28,market ,Food,Debit,Need
1/28/25,Tuesday,28.61,market ,Food,Debit,Need
1/28/25,Tuesday,27.72,doordash,Food,Debit,Need
1/28/25,Tuesday,3.50,7-eleven,Food,Debit,Need
1/29/25,Wednesday,26.75,market ,Food,Debit,Need
1/29/25,Wednesday,49.59,lucky,Food,Debit,Need
1/30,Tuesday,49.73,pizza,Food,Debit,Need
1/30,Thursday,13.17,lemonade insura,Bills,Debit,Need
1/31,Friday,30.00,p&c matco,Bills,Debit,Need
1/31,Friday,62.16,pizza speedys,Food,Debit,Need
1/31,Friday,5.78,7-eleven ,Food,Debit,Need
02/01/25,Saturday,39.38,doordash,Food,Debit,Need
2/1,Saturday,18.33 ,target ,Housing,Debit,Need
2/1,Saturday,50.00,gas,Bills,Debit,Need
2/1,Saturday,46.99,gas ,Bills,Debit,Need
02/01/25,Saturday,46.76,burger king,Food,Cash,Need
02/01/25,Saturday,750.00,put in to saving ,Financial goals and Savings,Debit,Savings
2/2/25,Sunday,20.00,laundry ,Bills,Debit,Need